x,y
-90.023639,0.784307
-89.422446,0.784307
-89.222049,0.784307
-89.823241,0.784307
-89.622844,0.784307
-131.152155,14.421230
-131.352553,14.421230
-130.751360,14.421230
-130.951758,14.421230
-131.552950,14.421230
-132.154143,14.421230
-132.354541,14.421230
-131.753348,14.421230
-131.953745,14.421230
-129.348577,14.421230
-129.548975,14.421230
-128.947782,14.421230
-129.148180,14.421230
-129.749372,14.421230
-130.350565,14.421230
-130.550963,14.421230
-129.949770,14.421230
-130.150168,14.421230
-132.554938,14.421230
-134.959709,14.421230
-135.160106,14.421230
-134.558914,14.421230
-134.759311,14.421230
-135.360504,14.421230
-135.961696,14.421230
-136.162094,14.421230
-135.560901,14.421230
-135.761299,14.421230
-133.156131,14.421230
-133.356528,14.421230
-132.755336,14.421230
-132.955733,14.421230
-133.556926,14.421230
-134.158118,14.421230
-134.358516,14.421230
-133.757323,14.421230
-133.957721,14.421230
-128.747385,14.421230
-123.537049,14.421230
-123.737446,14.421230
-123.136254,14.421230
-123.336651,14.421230
-123.937844,14.421230
-124.539036,14.421230
-124.739434,14.421230
-124.138241,14.421230
-124.338639,14.421230
-121.733471,14.421230
-121.933868,14.421230
-121.332676,14.421230
-121.533073,14.421230
-122.134266,14.421230
-122.735459,14.421230
-122.935856,14.421230
-122.334663,14.421230
-122.535061,14.421230
-124.939831,14.421230
-127.344602,14.421230
-127.545000,14.421230
-126.943807,14.421230
-127.144204,14.421230
-127.745397,14.421230
-128.346590,14.421230
-128.546987,14.421230
-127.945795,14.421230
-128.146192,14.421230
-125.541024,14.421230
-125.741422,14.421230
-125.140229,14.421230
-125.340627,14.421230
-125.941819,14.421230
-126.543012,14.421230
-126.743409,14.421230
-126.142217,14.421230
-126.342614,14.421230
-146.181971,14.421230
-146.382369,14.421230
-145.781176,14.421230
-145.981573,14.421230
-146.582766,14.421230
-147.183959,14.421230
-147.384356,14.421230
-146.783164,14.421230
-146.983561,14.421230
-144.378393,14.421230
-144.578791,14.421230
-143.977598,14.421230
-144.177996,14.421230
-144.779188,14.421230
-145.380381,14.421230
-145.580778,14.421230
-144.979586,14.421230
-145.179983,14.421230
-147.584754,14.421230
-149.989524,14.421230
-150.189922,14.421230
-149.588729,14.421230
-149.789127,14.421230
-150.390319,14.421230
-150.991512,14.421230
-151.191910,14.421230
-150.590717,14.421230
-150.791114,14.421230
-148.185946,14.421230
-148.386344,14.421230
-147.785151,14.421230
-147.985549,14.421230
-148.586742,14.421230
-149.187934,14.421230
-149.388332,14.421230
-148.787139,14.421230
-148.987537,14.421230
-143.777200,14.421230
-138.566864,14.421230
-138.767262,14.421230
-138.166069,14.421230
-138.366467,14.421230
-138.967659,14.421230
-139.568852,14.421230
-139.769250,14.421230
-139.168057,14.421230
-139.368455,14.421230
-136.763286,14.421230
-136.963684,14.421230
-136.362491,14.421230
-136.562889,14.421230
-137.164082,14.421230
-137.765274,14.421230
-137.965672,14.421230
-137.364479,14.421230
-137.564877,14.421230
-139.969647,14.421230
-142.374418,14.421230
-142.574815,14.421230
-141.973623,14.421230
-142.174020,14.421230
-142.775213,14.421230
-143.376405,14.421230
-143.576803,14.421230
-142.975610,14.421230
-143.176008,14.421230
-140.570840,14.421230
-140.771237,14.421230
-140.170045,14.421230
-140.370442,14.421230
-140.971635,14.421230
-141.572828,14.421230
-141.773225,14.421230
-141.172032,14.421230
-141.372430,14.421230
-101.685856,12.058868
-101.856905,12.163279
-101.343759,11.850047
-101.514808,11.954458
-102.027953,12.267690
-102.541098,12.580922
-102.712147,12.685333
-102.199002,12.372101
-102.370050,12.476512
-100.146420,11.119171
-100.317469,11.223582
-99.804324,10.910350
-99.975372,11.014761
-100.488517,11.327993
-101.001663,11.641225
-101.172711,11.745636
-100.659566,11.432404
-100.830614,11.536815
-102.883195,12.789744
-104.957974,14.002308
-105.143141,14.078904
-104.597586,13.827177
-104.776025,13.918354
-105.331229,14.148019
-105.909972,14.309430
-106.106681,14.347633
-105.521935,14.209542
-105.714953,14.263374
-103.396341,13.102976
-103.567389,13.207387
-103.054244,12.894155
-103.225292,12.998565
-103.738437,13.311798
-104.251583,13.625030
-104.422943,13.728924
-103.909486,13.416208
-104.080534,13.520619
-99.633275,10.805939
-95.186016,8.091259
-95.357064,8.195670
